Country,ISO3c,Category,Origin,Destination,Organism,System,Product,Pressure,Value
Afghanistan,AFG,farm,land,land,sheep,grassland,meat,ghg,312902.5318
Afghanistan,AFG,farm,land,land,sheep,grassland,meat,nutrient,13704.2046
Afghanistan,AFG,farm,land,land,sheep,grassland,meat,water,6072308.363
Afghanistan,AFG,farm,land,land,sheep,grassland,milk,disturbance,0
Afghanistan,AFG,farm,land,land,sheep,grassland,milk,ghg,438164.2513
Afghanistan,AFG,farm,land,land,sheep,grassland,milk,nutrient,14562.3037
Afghanistan,AFG,farm,land,land,sheep,grassland,milk,water,6452530.526
Afghanistan,AFG,farm,land,land,sheep,mixed,meat,disturbance,17.00041682
Afghanistan,AFG,farm,land,land,sheep,mixed,meat,ghg,589746.2629
Afghanistan,AFG,farm,land,land,sheep,mixed,meat,nutrient,30039.33266
Afghanistan,AFG,farm,land,land,sheep,mixed,meat,water,11397965.43
Afghanistan,AFG,farm,land,land,sheep,mixed,milk,disturbance,18.06491073
Afghanistan,AFG,farm,land,land,sheep,mixed,milk,ghg,868852.1498
Afghanistan,AFG,farm,land,land,sheep,mixed,milk,nutrient,31920.26813
Afghanistan,AFG,farm,land,land,sheep,mixed,milk,water,12111657.63
Afghanistan,AFG,farm,land,land,sorg,crop,produce,disturbance,0.009637301
Afghanistan,AFG,farm,land,land,sorg,crop,produce,ghg,0.238094474
Afghanistan,AFG,farm,land,land,sorg,crop,produce,nutrient,0.003588858
Afghanistan,AFG,farm,land,land,sorg,crop,produce,water,77.70520616
Afghanistan,AFG,farm,land,land,soyb,crop,produce,disturbance,0
Afghanistan,AFG,farm,land,land,soyb,crop,produce,ghg,0
Afghanistan,AFG,farm,land,land,soyb,crop,produce,nutrient,0
Afghanistan,AFG,farm,land,land,soyb,crop,produce,water,0
Afghanistan,AFG,farm,land,land,spis,crop,produce,disturbance,117.1823479
Afghanistan,AFG,farm,land,land,spis,crop,produce,ghg,45994.98754
Afghanistan,AFG,farm,land,land,spis,crop,produce,nutrient,1400.874086
Afghanistan,AFG,farm,land,land,spis,crop,produce,water,159955358.3
Afghanistan,AFG,farm,land,land,sugb,crop,produce,disturbance,0
Afghanistan,AFG,farm,land,land,sugb,crop,produce,ghg,0
Afghanistan,AFG,farm,land,land,sugb,crop,produce,nutrient,0
Afghanistan,AFG,farm,land,land,sugb,crop,produce,water,0
Afghanistan,AFG,farm,land,land,sugc,crop,produce,disturbance,30.48866269
Afghanistan,AFG,farm,land,land,sugc,crop,produce,ghg,7498.521554
Afghanistan,AFG,farm,land,land,sugc,crop,produce,nutrient,197.0604892
Afghanistan,AFG,farm,land,land,sugc,crop,produce,water,2159078.547
Afghanistan,AFG,farm,land,land,swpo,crop,produce,disturbance,0
Afghanistan,AFG,farm,land,land,swpo,crop,produce,ghg,0
Afghanistan,AFG,farm,land,land,swpo,crop,produce,nutrient,0
Afghanistan,AFG,farm,land,land,swpo,crop,produce,water,0
Afghanistan,AFG,farm,land,land,tnut,crop,produce,disturbance,235.0486521
Afghanistan,AFG,farm,land,land,tnut,crop,produce,ghg,86928.15416
Afghanistan,AFG,farm,land,land,tnut,crop,produce,nutrient,2685.163465
Afghanistan,AFG,farm,land,land,tnut,crop,produce,water,284004486.8
Afghanistan,AFG,farm,land,land,vege,crop,produce,disturbance,665.4950001
Afghanistan,AFG,farm,land,land,vege,crop,produce,ghg,165512.6026
Afghanistan,AFG,farm,land,land,vege,crop,produce,nutrient,4922.688629
Afghanistan,AFG,farm,land,land,vege,crop,produce,water,376141067.1
Afghanistan,AFG,farm,land,land,whea,crop,produce,disturbance,20772.71977
Afghanistan,AFG,farm,land,land,whea,crop,produce,ghg,1561476.894
Afghanistan,AFG,farm,land,land,whea,crop,produce,nutrient,30833.76585
Afghanistan,AFG,farm,land,land,whea,crop,produce,water,2101953637
Afghanistan,AFG,farm,land,land,xfru,crop,produce,disturbance,1653.774994
Afghanistan,AFG,farm,land,land,xfru,crop,produce,ghg,33784.61246
Afghanistan,AFG,farm,land,land,xfru,crop,produce,nutrient,1117.345527
Afghanistan,AFG,farm,land,land,xfru,crop,produce,water,2326686857
Afghanistan,AFG,farm,land,land,xmil,crop,produce,disturbance,26.44982977
Afghanistan,AFG,farm,land,land,xmil,crop,produce,ghg,641.6541371
Afghanistan,AFG,farm,land,land,xmil,crop,produce,nutrient,0.037154307
Afghanistan,AFG,farm,land,land,xmil,crop,produce,water,297217.0055
Afghanistan,AFG,farm,land,land,xoil,crop,produce,disturbance,341.4024195
Afghanistan,AFG,farm,land,land,xoil,crop,produce,ghg,36511.15005
Afghanistan,AFG,farm,land,land,xoil,crop,produce,nutrient,586.3286954
Afghanistan,AFG,farm,land,land,xoil,crop,produce,water,139872053.5
Afghanistan,AFG,farm,land,land,xpul,crop,produce,disturbance,665.9006697
Afghanistan,AFG,farm,land,land,xpul,crop,produce,ghg,17926.55921
Afghanistan,AFG,farm,land,land,xpul,crop,produce,nutrient,252.0157347
Afghanistan,AFG,farm,land,land,xpul,crop,produce,water,128385128.3
Afghanistan,AFG,farm,land,land,yams,crop,produce,disturbance,0
Afghanistan,AFG,farm,land,land,yams,crop,produce,ghg,0
Afghanistan,AFG,farm,land,land,yams,crop,produce,nutrient,0
Afghanistan,AFG,farm,land,land,yams,crop,produce,water,0
Afghanistan,AFG,farm,marine,marine,bivalve,aquaculture,meat,disturbance,0
Afghanistan,AFG,farm,marine,marine,bivalve,aquaculture,meat,ghg,0
Afghanistan,AFG,farm,marine,marine,bivalve,aquaculture,meat,nutrient,0
Afghanistan,AFG,farm,marine,marine,bivalve,aquaculture,meat,water,0
Afghanistan,AFG,farm,marine,marine,crustaceans,aquaculture,meat,disturbance,0
Afghanistan,AFG,farm,marine,marine,crustaceans,aquaculture,meat,ghg,0
Afghanistan,AFG,farm,marine,marine,crustaceans,aquaculture,meat,nutrient,0
Afghanistan,AFG,farm,marine,marine,crustaceans,aquaculture,meat,water,0
